date,hours,plays
2016-07-03,3.394,84
2016-07-04,3.058,103
2016-07-05,1.764,49
2016-07-06,3.903,97
2016-07-07,1.387,39
2016-07-08,4.101,78
2016-07-09,0.314,65
2016-07-10,1.968,49
2016-07-11,0.883,52
2016-07-12,9.290,214
2016-07-13,5.201,191
2016-07-14,2.550,66
2016-07-15,6.097,166
2016-07-16,2.271,61
2016-07-17,5.605,124
2016-07-18,0.791,25
2016-07-19,1.494,39
2016-07-20,4.774,212
2016-07-21,2.623,67
2016-07-22,2.366,72
2016-07-24,1.178,22
2016-07-25,2.314,54
2016-07-26,1.063,24
2016-07-27,2.828,69
2016-07-28,3.100,91
2016-07-29,0.381,7
2016-08-01,6.834,185
2016-08-02,3.177,113
2016-08-06,8.550,239
2016-08-07,2.319,82
2016-08-08,4.261,111
2016-08-09,1.971,46
2016-08-10,1.648,53
2016-08-11,3.103,109
2016-08-12,1.633,100
2016-08-13,2.232,245
2016-08-14,2.569,83
2016-08-15,3.027,73
2016-08-16,3.026,127
2016-08-17,0.164,10
2016-08-18,0.583,18
2016-08-19,1.093,28
2016-08-20,2.032,71
2016-08-21,5.963,114
2016-08-22,1.142,37
2016-08-23,0.117,3
2016-08-24,4.564,129
2016-08-25,5.302,146
2016-08-26,2.895,85
2016-08-27,4.402,127
2016-08-28,0.516,22
2016-08-29,3.788,213
2016-08-30,0.675,18
2016-09-01,2.953,122
2016-09-02,0.069,2
2016-09-04,5.584,147
2016-09-05,1.102,48
2016-09-06,1.203,58
2016-09-08,4.042,127
2016-09-09,2.607,68
2016-09-10,2.799,94
2016-09-11,7.446,169
2016-09-12,3.249,80
2016-09-13,4.071,138
2016-09-15,3.400,148
2016-09-16,2.526,118
2016-09-17,4.190,201
2016-09-18,3.413,90
2016-09-19,2.101,55
2016-09-20,0.335,21
2016-09-21,2.623,97
2016-09-22,2.547,112
2016-09-23,4.301,132
2016-09-24,1.112,43
2016-09-25,4.111,101
2016-09-26,2.355,68
2016-09-27,2.220,53
2016-09-28,1.921,57
2016-09-29,1.793,74
2016-09-30,0.452,20
2016-10-01,1.986,47
2016-10-02,3.395,67
2016-10-03,2.075,58
2016-10-04,1.568,61
2016-10-05,1.767,77
2016-10-06,3.249,184
2016-10-07,1.313,39
2016-10-08,1.893,49
2016-10-09,1.433,54
2016-10-10,1.142,27
2016-10-11,2.606,70
2016-10-12,1.987,60
2016-10-13,2.814,114
2016-10-14,1.514,53
2016-10-15,0.004,1
2016-10-16,3.443,101
2016-10-17,1.060,34
2016-10-18,1.393,78
2016-10-19,0.192,9
2016-10-20,1.248,60
2016-10-21,1.461,94
2016-10-22,1.172,49
2016-10-23,1.882,83
2016-10-24,1.777,68
2016-10-25,1.872,48
2016-10-26,1.491,49
2016-10-27,3.474,79
2016-10-28,2.774,90
2016-10-29,2.299,60
2016-10-30,6.411,148
2016-10-31,4.476,100
2016-11-01,1.484,77
2016-11-02,3.071,107
2016-11-03,3.420,70
2016-11-04,2.102,49
2016-11-05,1.165,33
2016-11-06,0.188,4
2016-11-07,4.595,129
2016-11-08,2.212,87
2016-11-09,5.115,112
2016-11-10,0.019,1
2016-11-11,6.362,119
2016-11-12,3.702,78
2016-11-13,4.331,98
2016-11-15,5.748,136
2016-11-16,2.034,74
2016-11-17,1.651,49
2016-11-18,0.204,6
2016-11-19,0.122,1
2016-11-20,1.938,44
2016-11-21,1.158,28
2016-11-22,3.570,115
2016-11-23,2.485,82
2016-11-24,3.055,87
2016-11-25,4.222,73
2016-11-26,0.201,12
2016-11-27,4.884,106
2016-11-28,2.671,73
2016-11-29,1.884,83
2016-11-30,1.193,65
2016-12-01,3.576,83
2016-12-02,2.410,100
2016-12-03,2.660,82
2016-12-04,2.603,96
2016-12-05,2.039,125
2016-12-06,3.677,171
2016-12-07,2.214,67
2016-12-08,2.705,66
2016-12-09,1.541,48
2016-12-10,1.554,34
2016-12-11,3.534,81
2016-12-12,4.297,122
2016-12-13,6.380,138
2016-12-14,4.414,89
2016-12-15,4.234,124
2016-12-16,2.698,75
2016-12-17,0.010,1
2016-12-18,4.629,147
2016-12-19,0.963,20
2016-12-20,1.841,67
2016-12-21,1.421,62
2016-12-22,2.025,45
2016-12-23,1.949,38
2016-12-24,0.239,12
2016-12-25,2.049,41
2016-12-26,0.907,19
2016-12-27,0.421,9
2016-12-28,1.610,40
2016-12-29,1.133,35
2016-12-30,0.724,12
2016-12-31,3.182,110
2017-01-01,0.919,20
2017-01-02,0.009,1
2017-01-03,1.582,19
2017-01-04,2.940,98
2017-01-05,0.824,44
2017-01-06,0.765,36
2017-01-07,2.283,74
2017-01-08,0.295,10
2017-01-09,0.899,27
2017-01-12,0.486,9
2017-01-13,2.798,103
2017-01-15,3.943,117
2017-01-16,1.005,46
2017-01-17,2.227,66
2017-01-18,3.468,99
2017-01-19,2.627,112
2017-01-20,2.839,108
2017-01-21,2.248,59
2017-01-22,0.723,20
2017-01-23,3.405,319
2017-01-24,1.641,139
2017-01-25,2.087,153
2017-01-26,3.460,315
2017-01-27,1.289,130
2017-01-28,5.007,110
2017-01-29,2.930,81
2017-01-30,1.852,84
2017-01-31,4.619,338
2017-02-01,2.523,86
2017-02-02,0.713,27
2017-02-03,1.304,46
2017-02-04,2.416,84
2017-02-05,3.913,105
2017-02-06,2.070,120
2017-02-07,1.854,91
2017-02-08,1.954,50
2017-02-09,2.586,82
2017-02-10,3.078,227
2017-02-11,2.193,90
2017-02-12,2.691,93
2017-02-13,3.290,133
2017-02-14,1.837,133
2017-02-15,4.984,129
2017-02-16,3.339,196
2017-02-17,1.238,46
2017-02-18,0.766,15
2017-02-19,0.179,6
2017-02-20,1.975,57
2017-02-21,2.037,77
2017-02-22,3.007,135
2017-02-23,1.919,112
2017-02-24,4.262,102
2017-02-25,1.659,105
2017-02-26,2.702,128
2017-02-27,2.723,102
2017-02-28,3.241,138
2017-03-01,0.937,102
2017-03-02,3.443,120
2017-03-03,1.702,62
2017-03-04,4.255,144
2017-03-05,1.821,141
2017-03-06,2.027,73
2017-03-07,0.599,53
2017-03-08,1.147,70
2017-03-09,1.187,30
2017-03-10,0.883,76
2017-03-11,8.013,174
2017-03-12,7.070,217
2017-03-13,2.817,138
2017-03-14,5.564,205
2017-03-15,4.505,184
2017-03-16,3.455,152
2017-03-17,4.262,142
2017-03-18,5.523,219
2017-03-19,1.093,24
2017-03-20,1.937,141
2017-03-21,5.589,156
2017-03-22,7.080,336
2017-03-23,2.923,112
2017-03-24,2.730,104
2017-03-25,1.414,37
2017-03-26,1.813,71
2017-03-27,4.577,193
2017-03-28,10.843,237
2017-03-29,3.040,69
2017-03-30,1.328,40
2017-03-31,4.852,165
2017-04-01,0.440,27
2017-04-02,3.228,152
2017-04-03,7.110,148
2017-04-04,3.841,77
2017-04-05,1.830,74
2017-04-06,5.762,244
2017-04-07,3.673,127
2017-04-08,1.311,67
2017-04-09,3.600,114
2017-04-10,2.989,109
2017-04-11,2.990,164
2017-04-12,1.686,96
2017-04-13,1.509,21
2017-04-14,6.523,209
2017-04-15,3.205,102
2017-04-16,3.123,123
2017-04-17,2.535,79
2017-04-18,1.665,64
2017-04-19,0.792,36
2017-04-20,2.768,124
2017-04-21,1.717,58
2017-04-22,2.832,76
2017-04-23,1.333,58
2017-04-24,0.937,59
2017-04-25,1.595,102
2017-04-26,3.395,177
2017-04-27,3.294,105
2017-04-28,1.725,74
2017-04-29,3.091,143
2017-04-30,0.570,29
2017-05-01,2.354,163
2017-05-02,1.460,131
2017-05-03,2.174,70
2017-05-04,1.123,78
2017-05-05,1.275,63
2017-05-06,2.992,75
2017-05-07,2.756,114
2017-05-08,3.135,161
2017-05-09,3.737,106
2017-05-10,3.399,230
2017-05-11,2.946,190
2017-05-12,4.120,165
2017-05-13,1.800,271
2017-05-14,1.855,178
2017-05-15,1.186,66
2017-05-16,1.221,86
2017-05-17,1.208,86
2017-05-18,1.380,61
2017-05-19,4.633,154
2017-05-20,0.161,26
2017-05-21,0.716,61
2017-05-22,3.484,140
2017-05-23,1.775,92
2017-05-24,1.876,89
2017-05-25,0.323,13
2017-05-26,2.016,63
2017-05-27,5.845,147
2017-05-28,0.255,8
2017-05-29,1.035,66
2017-05-30,1.849,128
2017-05-31,1.555,66
2017-06-01,2.745,76
2017-06-02,1.973,136
2017-06-03,3.101,98
2017-06-04,1.666,110
2017-06-05,2.396,74
2017-06-06,1.951,148
2017-06-07,6.165,140
2017-06-08,3.291,110
2017-06-09,2.429,232
2017-06-10,3.788,191
2017-06-11,1.319,195
2017-06-12,2.509,125
2017-06-13,1.635,108
2017-06-14,3.543,146
2017-06-15,1.764,78
2017-06-16,1.940,61
2017-06-17,3.723,159
2017-06-18,7.311,89
2017-06-19,6.306,93
2017-06-20,1.928,93
2017-06-21,5.903,108
2017-06-22,2.225,315
2017-06-23,3.049,64
2017-06-24,5.030,137
2017-06-25,4.992,215
2017-06-26,6.224,351
2017-06-27,1.766,75
2017-06-28,1.569,44
2017-06-30,3.061,67
2017-07-01,4.154,87
2017-07-02,4.382,129
2017-07-03,4.271,149
2017-07-04,2.573,76
2017-07-05,2.357,104
2017-07-06,0.368,10
2017-07-07,1.601,47
2017-07-08,3.981,128
2017-07-09,3.127,59
2017-07-10,3.548,281
2017-07-11,2.442,130
2017-07-12,4.562,235
2017-07-13,1.005,103
2017-07-15,7.640,312
2017-07-16,1.299,62
2017-07-17,1.889,66
2017-07-18,0.840,88
2017-07-19,6.882,349
2017-07-20,6.338,270
2017-07-21,0.680,7
2017-07-22,3.430,143
2017-07-23,2.002,137
2017-07-24,2.727,58
2017-07-25,1.723,80
2017-07-26,1.633,77
2017-07-27,2.191,88
2017-07-29,5.168,472
2017-07-30,3.790,215
2017-07-31,6.189,462
2017-08-01,2.533,193
2017-08-02,1.050,20
2017-08-03,1.979,79
2017-08-04,0.878,22
2017-08-05,7.579,323
2017-08-06,1.607,79
2017-08-07,0.792,28
2017-08-08,1.727,65
2017-08-09,1.732,247
2017-08-10,1.229,58
2017-08-11,1.641,89
2017-08-12,3.180,94
2017-08-13,2.821,55
2017-08-14,8.281,258
2017-08-15,3.354,211
2017-08-16,5.478,179
2017-08-17,4.810,143
2017-08-18,7.035,193
2017-08-19,8.431,182
2017-08-20,4.499,331
2017-08-21,2.120,194
2017-08-22,5.302,258
2017-08-23,4.076,275
2017-08-24,2.215,72
2017-08-25,2.813,243
2017-08-27,2.490,135
2017-08-28,5.316,399
2017-08-29,4.003,345
2017-08-30,6.799,214
2017-08-31,3.146,249
2017-09-01,6.124,196
2017-09-02,3.932,152
2017-09-03,5.508,231
2017-09-04,2.545,141
2017-09-05,6.526,218
2017-09-06,7.972,262
2017-09-07,3.210,196
2017-09-08,2.197,79
2017-09-09,3.044,59
2017-09-10,1.308,75
2017-09-11,6.445,159
2017-09-12,9.243,303
2017-09-13,3.637,75
2017-09-14,0.336,10
2017-09-15,5.639,156
2017-09-16,5.765,205
2017-09-17,8.349,225
2017-09-18,5.419,83
2017-09-19,8.711,276
2017-09-20,10.296,326
2017-09-21,5.546,549
2017-09-22,4.660,213
2017-09-23,5.137,153
2017-09-24,7.059,604
2017-09-25,4.150,344
2017-09-26,5.683,395
2017-09-27,7.239,228
2017-09-28,6.592,175
2017-09-29,2.161,85
2017-09-30,6.268,124
2017-10-01,1.586,31
2017-10-02,2.172,70
2017-10-03,4.120,129
2017-10-04,3.343,118
2017-10-05,1.539,64
2017-10-06,7.350,175
2017-10-07,6.482,246
2017-10-08,4.849,128
2017-10-09,0.332,60
2017-10-10,2.909,78
2017-10-11,6.153,144
2017-10-12,6.013,245
2017-10-13,1.299,41
2017-10-14,5.748,432
2017-10-15,8.242,229
2017-10-16,6.330,274
2017-10-17,1.308,69
2017-10-18,3.035,75
2017-10-19,3.656,171
2017-10-20,3.578,102
2017-10-21,4.309,68
2017-10-22,4.335,244
2017-10-23,6.858,214
2017-10-24,6.785,139
2017-10-25,4.010,67
2017-10-26,0.820,18
2017-10-27,5.589,77
2017-10-28,3.638,94
2017-10-29,3.368,82
2017-10-30,17.568,736
2017-10-31,7.947,310
2017-11-01,8.574,180
2017-11-02,8.150,203
2017-11-03,5.588,202
2017-11-04,6.054,168
2017-11-05,1.824,89
2017-11-06,9.930,274
2017-11-07,3.902,302
2017-11-08,3.304,145
2017-11-09,7.409,378
2017-11-10,3.601,81
2017-11-11,2.961,173
2017-11-12,2.154,196
2017-11-13,9.690,271
2017-11-14,5.173,547
2017-11-15,4.536,287
2017-11-16,3.841,147
2017-11-17,7.634,152
2017-11-18,10.238,211
2017-11-19,9.283,259
2017-11-20,3.476,214
2017-11-21,10.625,316
2017-11-22,5.166,292
2017-11-23,7.540,168
2017-11-24,7.316,218
2017-11-25,4.614,304
2017-11-26,10.268,280
2017-11-27,7.555,320
2017-11-28,6.516,155
2017-11-29,7.754,355
2017-11-30,4.229,142
2017-12-01,10.348,298
2017-12-02,1.347,108
2017-12-03,3.696,237
2017-12-04,3.287,104
2017-12-05,5.345,141
2017-12-06,4.335,468
2017-12-07,5.492,150
2017-12-08,6.296,97
2017-12-09,2.183,67
2017-12-10,3.578,167
2017-12-11,2.764,81
2017-12-12,3.408,82
2017-12-13,3.664,146
2017-12-14,1.802,81
2017-12-15,6.979,159
